id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,nacidos_muertos_atendidos_por_partera,total_general
1,1,CHUQUISACA,10101,SUCRE                         ,7392,32,14,70,0,7508
2,1,CHUQUISACA,10102,YOTALA                        ,97,4,0,0,0,101
3,1,CHUQUISACA,10103,POROMA                        ,124,120,0,3,0,247
4,1,CHUQUISACA,10201,AZURDUY                       ,98,85,0,1,0,184
5,1,CHUQUISACA,10202,TARVITA                       ,158,44,0,1,0,203
6,1,CHUQUISACA,10301,ZUDAÑEZ                       ,75,20,0,1,0,96
7,1,CHUQUISACA,10302,PRESTO                        ,47,68,1,0,1,117
8,1,CHUQUISACA,10303,MOJOCOYA                      ,81,18,0,0,1,100
9,1,CHUQUISACA,10304,ICLA                          ,74,40,1,0,0,115
10,1,CHUQUISACA,10401,PADILLA                       ,248,11,1,6,0,266
11,1,CHUQUISACA,10402,TOMINA                        ,121,9,0,0,0,130
12,1,CHUQUISACA,10403,SOPACHUY                      ,102,15,0,0,0,117
13,1,CHUQUISACA,10404,ALCALA                        ,33,1,0,0,0,34
14,1,CHUQUISACA,10405,EL VILLAR                     ,44,3,0,0,0,47
15,1,CHUQUISACA,10501,MONTEAGUDO                    ,549,10,2,9,0,570
16,1,CHUQUISACA,10502,HUACARETA                     ,112,10,0,1,0,123
17,1,CHUQUISACA,10601,TARABUCO                      ,184,73,1,2,0,260
18,1,CHUQUISACA,10602,YAMPARAEZ                     ,64,9,0,0,0,73
19,1,CHUQUISACA,10701,CAMARGO                       ,314,24,2,6,0,346
20,1,CHUQUISACA,10702,SAN LUCAS                     ,381,219,9,7,0,616
21,1,CHUQUISACA,10703,INCAHUASI                     ,96,119,0,2,0,217
22,1,CHUQUISACA,10704,VILLA CHARCAS                 ,146,72,0,0,0,218
23,1,CHUQUISACA,10801,VILLA SERRANO                 ,74,14,0,3,0,91
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA)   ,17,10,1,1,0,29
25,1,CHUQUISACA,10902,CULPINA                       ,264,74,0,5,0,343
26,1,CHUQUISACA,10903,LAS CARRERAS                  ,53,6,0,0,0,59
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA) ,96,41,0,0,0,137
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA)    ,24,21,2,0,0,47
29,1,CHUQUISACA,11003,MACHARETI                     ,55,10,1,0,0,66
30,2,LA PAZ    ,20101,LA PAZ                        ,21586,14,7,298,0,21905
31,2,LA PAZ    ,20102,PALCA                         ,30,99,2,0,0,131
32,2,LA PAZ    ,20103,MECAPACA                      ,39,35,2,1,0,77
33,2,LA PAZ    ,20104,ACHOCALLA                     ,59,66,2,0,0,127
34,2,LA PAZ    ,20105,EL ALTO                       ,16778,75,46,213,1,17113
35,2,LA PAZ    ,20201,ACHACACHI                     ,367,201,1,6,0,575
36,2,LA PAZ    ,20202,ANCORAIMES                    ,30,147,0,0,0,177
37,2,LA PAZ    ,20203,CHUA COCANI                   ,11,31,0,0,0,42
38,2,LA PAZ    ,20204,HUARINA                       ,17,22,2,0,0,41
39,2,LA PAZ    ,20205,SANTIAGO DE HUATA             ,17,47,0,0,0,64
40,2,LA PAZ    ,20206,HUATAJATA                     ,19,1,1,0,0,21
41,2,LA PAZ    ,20301,CORO CORO                     ,21,39,3,0,0,63
42,2,LA PAZ    ,20302,CAQUIAVIRI                    ,13,68,7,0,1,89
43,2,LA PAZ    ,20303,CALACOTO                      ,1,32,0,0,0,33
44,2,LA PAZ    ,20304,COMANCHE                      ,4,19,0,0,0,23
45,2,LA PAZ    ,20305,CHARAÑA                       ,3,19,0,0,0,22
46,2,LA PAZ    ,20306,WALDO BALLIVIAN               ,0,32,0,0,0,32
47,2,LA PAZ    ,20307,NAZACARA DE PACAJES           ,0,6,0,0,0,6
48,2,LA PAZ    ,20308,SANTIAGO DE CALLAPA           ,18,20,0,0,0,38
49,2,LA PAZ    ,20401,PUERTO ACOSTA                 ,26,98,0,0,1,125
50,2,LA PAZ    ,20402,MOCOMOCO                      ,19,113,0,0,0,132
51,2,LA PAZ    ,20403,PUERTO CARABUCO               ,25,134,0,1,0,160
52,2,LA PAZ    ,20404,HUMANATA                      ,8,32,0,0,0,40
53,2,LA PAZ    ,20405,ESCOMA                        ,71,10,3,4,0,88
54,2,LA PAZ    ,20501,CHUMA                         ,27,77,0,0,0,104
55,2,LA PAZ    ,20502,AYATA                         ,10,84,4,0,0,98
56,2,LA PAZ    ,20503,AUCAPATA                      ,3,57,1,0,0,61
57,2,LA PAZ    ,20601,SORATA                        ,101,95,0,2,0,198
58,2,LA PAZ    ,20602,GUANAY                        ,205,44,0,3,0,252
59,2,LA PAZ    ,20603,TACACOMA                      ,53,5,0,1,0,59
60,2,LA PAZ    ,20604,QUIABAYA                      ,46,4,0,0,0,50
61,2,LA PAZ    ,20605,COMBAYA                       ,11,32,0,0,0,43
62,2,LA PAZ    ,20606,TIPUANI                       ,108,8,0,1,0,117
63,2,LA PAZ    ,20607,MAPIRI                        ,221,11,0,1,0,233
64,2,LA PAZ    ,20608,TEOPONTE                      ,169,20,0,0,0,189
65,2,LA PAZ    ,20701,APOLO                         ,143,80,16,0,0,239
66,2,LA PAZ    ,20702,PELECHUCO                     ,5,65,0,0,0,70
67,2,LA PAZ    ,20801,VIACHA                        ,625,58,1,0,0,684
68,2,LA PAZ    ,20802,GUAQUI                        ,40,29,0,0,0,69
69,2,LA PAZ    ,20803,TIAWANACU                     ,71,77,0,2,0,150
70,2,LA PAZ    ,20804,DESAGUADERO                   ,55,22,0,0,0,77
71,2,LA PAZ    ,20805,SAN ANDRES DE MACHACA         ,11,46,0,0,0,57
72,2,LA PAZ    ,20806,JESUS DE MACHACA              ,74,92,1,0,0,167
73,2,LA PAZ    ,20807,TARACO                        ,36,22,0,0,0,58
74,2,LA PAZ    ,20901,LURIBAY                       ,59,35,1,0,0,95
75,2,LA PAZ    ,20902,SAPAHAQUI                     ,41,65,0,0,0,106
76,2,LA PAZ    ,20903,YACO                          ,26,59,4,0,0,89
77,2,LA PAZ    ,20904,MALLA                         ,1,18,0,0,0,19
78,2,LA PAZ    ,20905,CAIROMA                       ,88,55,0,1,0,144
79,2,LA PAZ    ,21001,INQUISIVI                     ,27,86,9,0,0,122
80,2,LA PAZ    ,21002,QUIME                         ,70,32,1,1,0,104
81,2,LA PAZ    ,21003,CAJUATA                       ,156,7,0,0,0,163
82,2,LA PAZ    ,21004,COLQUIRI                      ,81,149,0,0,0,230
83,2,LA PAZ    ,21005,ICHOCA                        ,8,36,0,0,0,44
84,2,LA PAZ    ,21006,LICOMA PAMPA                  ,14,5,0,0,0,19
85,2,LA PAZ    ,21101,CHULUMANI (V. DE LA LIBERTAD) ,301,22,0,2,0,325
86,2,LA PAZ    ,21102,IRUPANA (VILLA DE LANZA)      ,110,49,0,2,0,161
87,2,LA PAZ    ,21103,YANACACHI                     ,34,8,0,1,0,43
88,2,LA PAZ    ,21104,PALOS BLANCOS                 ,313,75,5,2,0,395
89,2,LA PAZ    ,21105,LA ASUNTA                     ,613,152,6,14,0,785
